area,bedrooms,bathrooms,floors,age,location_score,distance_to_city,price
3674,5,2,2,28,4,16,10720913.09101491
1360,4,2,1,24,6,10,4101298.243905466
1794,2,2,2,18,4,15,5148716.467883774
1630,1,2,2,23,9,5,5083902.16853228
1595,1,1,2,18,7,27,4320431.474604771
3592,3,1,1,26,3,17,10253236.048912758
2138,4,2,1,27,4,9,6228022.941328212
2669,1,3,2,28,1,25,7096826.715342852
966,3,1,1,28,6,26,2439200.8641232704
1738,5,2,1,22,2,26,4646461.181031307
830,3,1,1,29,4,25,1758155.38754744
1982,3,3,1,12,5,6,6221568.728159379
2635,3,3,1,20,8,26,7736111.723696086
3944,2,3,1,11,3,26,11401747.77137547
3671,3,2,2,28,6,2,11092441.03792961
3419,3,2,2,0,1,28,9868168.514219558
630,2,3,2,26,9,13,2013629.5757430834
2185,2,1,2,11,1,23,6031955.481788492
3880,5,1,2,3,2,18,11620478.371506944
1269,4,3,1,29,1,20,3182707.239074327
2891,1,2,1,28,8,4,8724670.355937773
2015,1,1,1,26,4,10,5798014.70693133
3985,3,1,2,14,2,23,11473704.039927216
3353,5,1,2,24,7,22,9860452.980843637
2933,3,2,1,15,8,28,8573874.859658916
1715,1,3,2,14,9,11,5398481.154380205
1455,2,2,1,7,5,28,4095285.978008083
2824,4,1,1,18,3,13,8302436.038886312
1684,5,3,1,14,1,28,4502916.393246929
959,2,2,2,17,8,26,2689084.695405373
3885,4,3,2,10,6,23,11680563.22627595
521,5,1,1,8,5,22,1587670.8919530045
2800,5,2,1,0,7,17,8784727.033997813
1247,1,3,2,8,5,11,3884875.2002514433
3404,2,2,2,27,4,4,10113607.560029123
974,5,1,2,22,5,14,2862489.6546598515
1582,5,3,2,11,7,3,5364747.788749082
3058,4,1,1,1,6,23,9320146.699851898
2547,1,3,1,10,9,29,7491269.367984583
3247,3,1,2,20,2,23,9157381.027713953
1475,1,1,2,13,7,12,4485468.223393075
2306,3,2,2,1,1,28,6525058.698472114
689,2,1,2,14,8,27,1887827.170062169
3505,2,2,1,20,4,4,10544644.109475669
3234,5,1,2,22,8,16,9742876.77615936
3505,2,1,2,20,8,7,10755994.87914623
1062,5,1,1,17,4,20,2929392.863840456
2399,1,3,2,26,4,25,6504122.587695816
1767,2,2,1,13,5,19,5082878.329828494
3379,1,3,1,20,7,26,9804881.88409732
2028,1,2,1,27,6,18,5612089.945187169
3702,2,1,2,11,1,21,10741305.474639358
1146,1,3,1,9,6,9,3639951.191783823
2568,2,2,2,13,3,11,7534110.117227992
3388,2,1,2,21,9,19,10057155.683246955
2714,2,2,1,14,3,17,7888187.51402813
1797,3,2,1,4,9,25,5493079.8842089
2935,1,1,1,1,5,21,8763069.254625145
1100,4,3,2,21,8,18,3301502.253942003
2863,2,1,2,5,9,6,9197327.232277164
2561,1,3,1,11,9,3,8263857.857222421
741,5,2,2,1,7,14,2751936.9324405696
2541,2,2,1,28,1,9,7150609.960904862
3324,2,2,2,28,8,3,10173338.922713997
3917,4,3,2,3,7,2,12443957.608490579
3112,3,1,2,6,4,19,9220481.991165245
3445,3,3,2,15,6,6,10536922.704321612
1863,2,2,1,0,2,3,5869472.8644023845
2639,1,2,1,0,4,25,7716990.033658774
1890,5,1,1,13,8,25,5615131.554599025
3503,5,3,2,10,4,9,10800703.148218933
1978,1,2,2,11,4,18,5814332.982588608
3999,2,3,1,10,4,7,12166509.860479077
3056,5,3,1,5,9,28,9446621.347225858
1275,3,1,1,22,2,2,3675695.315018309
534,1,1,2,11,7,1,2015755.8600923223
2753,4,2,1,20,3,5,8259971.308556141
3652,2,1,1,11,4,27,10553307.058626112
2455,1,3,1,9,1,27,6683378.52541085
